"parts"	"mor"
"助詞"	"の"
"名詞"	"中"
"助詞"	"へ"
"動詞"	"はいる"
"助詞"	"て"
"名詞"	"汗"
"助詞"	"を"
"動詞"	"かく"
"助詞"	"て"
"名詞"	"我慢"
"動詞"	"する"
"助詞"	"て"
"動詞"	"いる"
"助動詞"	"た"
"記号"	"。"
"副詞"	"やがて"
"名詞"	"湯煮"
"名詞"	"入れ"
"助詞"	"と"
"動詞"	"云う"
"助詞"	"から"
"記号"	"、"
"副詞"	"ざぶり"
"助詞"	"と"
"動詞"	"飛び込む"
"助詞"	"で"
"記号"	"、"
"副詞"	"すぐ"
"動詞"	"上がる"
"助動詞"	"た"
"記号"	"。"
"名詞"	"帰りがけ"
"助詞"	"に"
"動詞"	"覗く"
"助詞"	"て"
"動詞"	"みる"
"助詞"	"と"
"形容詞"	"涼しい"
"名詞"	"そう"
"助動詞"	"だ"
"名詞"	"部屋"
"助詞"	"が"
"名詞"	"たくさん"
"動詞"	"空く"
"助詞"	"て"
"動詞"	"いる"
"記号"	"。"
"名詞"	"失敬"
"助動詞"	"だ"
"名詞"	"奴"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"嘘"
"助詞"	"を"
"動詞"	"つく"
"動詞"	"あがる"
"助動詞"	"た"
"記号"	"。"
"接続詞"	"それから"
"名詞"	"下女"
"助詞"	"が"
"名詞"	"膳"
"助詞"	"を"
"動詞"	"持つ"
"助詞"	"て"
"動詞"	"来る"
"助動詞"	"た"
"記号"	"。"
"名詞"	"部屋"
"助詞"	"は"
"名詞"	"熱"
"動詞"	"つかう"
"助動詞"	"た"
"助詞"	"が"
"記号"	"、"
"名詞"	"飯"
"助詞"	"は"
"名詞"	"下宿"
"名詞"	"の"
"助詞"	"より"
"助詞"	"も"
"副詞"	"大分"
"形容詞"	"旨い"
"助動詞"	"た"
"記号"	"。"
"名詞"	"給仕"
"助詞"	"を"
"動詞"	"する"
"助詞"	"ながら"
"名詞"	"下女"
"助詞"	"が"
"名詞"	"どちら"
"助詞"	"から"
"名詞"	"おいで"
"助詞"	"に"
"動詞"	"なる"
"助動詞"	"ます"
"助動詞"	"た"
"助詞"	"と"
"動詞"	"聞く"
"助詞"	"から"
"記号"	"、"
"名詞"	"東京"
"助詞"	"から"
"動詞"	"来る"
"助動詞"	"た"
"助詞"	"と"
"動詞"	"答える"
"助動詞"	"た"
"記号"	"。"
"接続詞"	"すると"
"名詞"	"東京"
"助詞"	"は"
"形容詞"	"よい"
"名詞"	"所"
"助動詞"	"だ"
"助動詞"	"ござる"
"助動詞"	"ます"
"助動詞"	"う"
"助詞"	"と"
"動詞"	"云う"
"助動詞"	"た"
"助詞"	"から"
"名詞"	"当り前"
"助動詞"	"だ"
"助詞"	"と"
"動詞"	"答える"
"助詞"	"て"
"動詞"	"やる"
"助動詞"	"た"
"記号"	"。"
"名詞"	"膳"
"助詞"	"を"
"動詞"	"下げる"
"助動詞"	"た"
"名詞"	"下女"
"助詞"	"が"
"名詞"	"台所"
"助詞"	"へ"
"動詞"	"いく"
"助動詞"	"た"
"名詞"	"時分"
"記号"	"、"
"連体詞"	"大きな"
"名詞"	"笑い声"
"助詞"	"が"
"動詞"	"聞える"
"助動詞"	"た"
"記号"	"。"
"形容詞"	"くだらない"
"助詞"	"から"
"記号"	"、"
"副詞"	"すぐ"
"動詞"	"寝る"
"助動詞"	"た"
"助詞"	"が"
"記号"	"、"
"副詞"	"なかなか"
"動詞"	"寝る"
"動詞"	"られる"
"助動詞"	"ない"
"記号"	"。"
"名詞"	"熱意"
"助詞"	"ばかり"
"助動詞"	"だ"
"助詞"	"は"
"助動詞"	"ない"
"記号"	"。"
"形容詞"	"騒々しい"
"記号"	"。"
"名詞"	"下宿"
"助詞"	"の"
"名詞"	"五"
"名詞"	"倍"
"助詞"	"ぐらい"
"形容詞"	"やかましい"
"記号"	"。"
"副詞"	"うとうと"
"動詞"	"する"
"助動詞"	"た"
"名詞"	"清"
"助詞"	"の"
"名詞"	"夢"
"助詞"	"を"
"動詞"	"見る"
"助動詞"	"た"
"記号"	"。"
"名詞"	"清"
"助詞"	"が"
"名詞"	"越後"
"助詞"	"の"
"名詞"	"笹"
"名詞"	"飴"
"助詞"	"を"
"名詞"	"笹"
"名詞"	"ぐるみ"
"記号"	"、"
"副詞"	"むしゃむしゃ"
"動詞"	"食う"
"助詞"	"て"
"動詞"	"いる"
"記号"	"。"
"名詞"	"笹"
"助詞"	"は"
"名詞"	"毒"
"助動詞"	"だ"
"助詞"	"から"
"動詞"	"よす"
"助動詞"	"た"
"形容詞"	"よい"
"助動詞"	"う"
"助詞"	"と"
"動詞"	"云う"
"助詞"	"と"
"記号"	"、"
"動詞"	"いう"
"連体詞"	"この"
"名詞"	"笹"
"助詞"	"が"
"接頭詞"	"お"
"名詞"	"薬"
"助動詞"	"だ"
"助動詞"	"ござる"
"助動詞"	"ます"
"助詞"	"と"
"動詞"	"云う"
"助詞"	"て"
"形容詞"	"旨い"
"名詞"	"そう"
"助詞"	"に"
"動詞"	"食う"
"助詞"	"て"
"動詞"	"いる"
"記号"	"。"
"名詞"	"おれ"
"助詞"	"が"
"動詞"	"あきれ返る"
"助詞"	"て"
"連体詞"	"大きな"
"名詞"	"口"
"助詞"	"を"
"動詞"	"開く"
"助詞"	"て"
"名詞"	"ハハハハ"
"助詞"	"と"
"動詞"	"笑う"
"助動詞"	"た"
"名詞"	"眼"
"助詞"	"が"
"動詞"	"覚める"
"助動詞"	"た"
"記号"	"。"
"名詞"	"下女"
"助詞"	"が"
"名詞"	"雨戸"
"助詞"	"を"
"動詞"	"明ける"
"助詞"	"て"
"動詞"	"いる"
"記号"	"。"
"接頭詞"	"相"
"動詞"	"変る"
"助動詞"	"ぬ"
"名詞"	"空"
"助詞"	"の"
"名詞"	"底"
"助詞"	"が"
"動詞"	"突き抜ける"
"助動詞"	"た"
"名詞"	"よう"
"助動詞"	"だ"
"名詞"	"天気"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"道中"
"助詞"	"を"
"動詞"	"する"
"助動詞"	"た"
"名詞"	"茶代"
"助詞"	"を"
"動詞"	"やる"
"名詞"	"もの"
"助動詞"	"だ"
"助詞"	"と"
"動詞"	"聞く"
"助詞"	"て"
"動詞"	"いる"
"助動詞"	"た"
"記号"	"。"
"名詞"	"茶代"
"助詞"	"を"
"動詞"	"やる"
"助動詞"	"ない"
"助詞"	"と"
"名詞"	"粗末"
"助詞"	"に"
"動詞"	"取り扱う"
"動詞"	"れる"
"助詞"	"と"
"動詞"	"聞く"
"助詞"	"て"
"動詞"	"いる"
"助動詞"	"た"
"記号"	"。"
"連体詞"	"こんな"
"記号"	"、"
"形容詞"	"狭い"
"助詞"	"て"
"形容詞"	"暗い"
"名詞"	"部屋"
"助詞"	"へ"
"動詞"	"押し込める"
"名詞"	"の"
"助詞"	"も"
"名詞"	"茶代"
"助詞"	"を"
"動詞"	"やる"
"助動詞"	"ない"
"名詞"	"せい"
"助動詞"	"だ"
"助動詞"	"う"
"記号"	"。"
"動詞"	"見る"
"動詞"	"す"
"動詞"	"ぼる"
"助動詞"	"らしい"
"名詞"	"服装"
"助詞"	"を"
"動詞"	"する"
"助詞"	"て"
"記号"	"、"
"名詞"	"ズック"
"助詞"	"の"
"名詞"	"革"
"名詞"	"鞄"
"助詞"	"と"
"名詞"	"毛繻子"
"助詞"	"の"
"名詞"	"蝙蝠傘"
"助詞"	"を"
"動詞"	"提げる"
"動詞"	"てる"
"助詞"	"から"
"助動詞"	"だ"
"助動詞"	"う"
"記号"	"。"
"名詞"	"田舎者"
"助詞"	"の"
"名詞"	"癖"
"助詞"	"に"
"名詞"	"人"
"助詞"	"を"
"動詞"	"見る"
"動詞"	"括る"
"助動詞"	"た"
"助詞"	"な"
"記号"	"。"
"名詞"	"一番"
"名詞"	"茶代"
"助詞"	"を"
"動詞"	"やる"
"助詞"	"て"
"動詞"	"驚かす"
"助詞"	"て"
"動詞"	"やる"
"助動詞"	"う"
"記号"	"。"
"名詞"	"おれ"
"助詞"	"は"
"名詞"	"これ"
"助詞"	"でも"
"名詞"	"学資"
"助詞"	"の"
"名詞"	"あまり"
"助詞"	"を"
"名詞"	"三"
"名詞"	"十"
"名詞"	"円"
"助詞"	"ほど"
"名詞"	"懐"
"助詞"	"に"
"動詞"	"入れる"
"助詞"	"て"
"名詞"	"東京"
"助詞"	"を"
"動詞"	"出る"
"助詞"	"て"
"動詞"	"来る"
"助動詞"	"た"
"名詞"	"の"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"汽車"
"助詞"	"と"
"名詞"	"汽船"
"助詞"	"の"
"名詞"	"切符"
"名詞"	"代"
"助詞"	"と"
"名詞"	"雑費"
"助詞"	"を"
"動詞"	"差し引く"
"助詞"	"て"
"記号"	"、"
"副詞"	"まだ"
"名詞"	"十"
"名詞"	"四"
"名詞"	"円"
"助詞"	"ほど"
"動詞"	"ある"
"記号"	"。"
"名詞"	"みんな"
"動詞"	"やる"
"助詞"	"たって"
"副詞"	"これから"
"助詞"	"は"
"名詞"	"月給"
"助詞"	"を"
"動詞"	"貰う"
"名詞"	"ん"
"助動詞"	"だ"
"助詞"	"から"
"動詞"	"構う"
"助動詞"	"ない"
"記号"	"。"
"名詞"	"田舎者"
"助詞"	"は"
"動詞"	"しみったれる"
"助動詞"	"だ"
"助詞"	"から"
"名詞"	"五"
"名詞"	"円"
"助詞"	"も"
"動詞"	"やる"
"助詞"	"ば"
"名詞"	"驚"
"名詞"	"ろ"
"動詞"	"いる"
"助詞"	"て"
"名詞"	"眼"
"助詞"	"を"
"動詞"	"廻す"
"助詞"	"に"
"副詞"	"極"
"動詞"	"く"
"助詞"	"て"
"動詞"	"いる"
"記号"	"。"
"副詞"	"どう"
"動詞"	"する"
"助詞"	"か"
"動詞"	"見る"
"助詞"	"と"
"動詞"	"済す"
"助詞"	"て"
"名詞"	"顔"
"助詞"	"を"
"動詞"	"洗う"
"助詞"	"て"
"記号"	"、"
"名詞"	"部屋"
"助詞"	"へ"
"動詞"	"帰る"
"助詞"	"て"
"動詞"	"待つ"
"動詞"	"てる"
"助詞"	"と"
"記号"	"、"
"名詞"	"夕べ"
"助詞"	"の"
"名詞"	"下女"
"助詞"	"が"
"名詞"	"膳"
"助詞"	"を"
"動詞"	"持つ"
"助詞"	"て"
"動詞"	"来る"
"助動詞"	"た"
"記号"	"。"
"名詞"	"盆"
"助詞"	"を"
"動詞"	"持つ"
"助詞"	"て"
"名詞"	"給仕"
"助詞"	"を"
"動詞"	"する"
"助詞"	"ながら"
"記号"	"、"
"名詞"	"や"
"助詞"	"に"
"副詞"	"にやにや"
"動詞"	"笑う"
"動詞"	"てる"
"記号"	"。"
"名詞"	"失敬"
"助動詞"	"だ"
"名詞"	"奴"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"顔"
"助詞"	"の"
"名詞"	"なか"
"助詞"	"を"
"名詞"	"お祭り"
"助詞"	"で"
"助詞"	"も"
"名詞"	"通り"
"名詞"	"ゃしまいし"
"記号"	"。"
"名詞"	"これ"
"助詞"	"でも"
"連体詞"	"この"
"名詞"	"下女"
"助詞"	"の"
"名詞"	"面"
"助詞"	"より"
"副詞"	"よっぽど"
"名詞"	"上等"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"飯"
"助詞"	"を"
"動詞"	"済ます"
"助詞"	"て"
"助詞"	"から"
"助詞"	"に"
"動詞"	"する"
"助動詞"	"う"
"助詞"	"と"
"動詞"	"思う"
"助詞"	"て"
"動詞"	"いる"
"助動詞"	"た"
"助詞"	"が"
"記号"	"、"
"名詞"	"癪"
"助詞"	"に"
"動詞"	"障る"
"助動詞"	"た"
"助詞"	"から"
"記号"	"、"
"名詞"	"中途"
"助詞"	"で"
"名詞"	"五"
"名詞"	"円"
"名詞"	"札"
"助詞"	"を"
"名詞"	"一"
"名詞"	"枚"
"名詞"	"出し手"
"記号"	"、"
"名詞"	"あと"
"助詞"	"で"
"名詞"	"これ"
"助詞"	"を"
"名詞"	"帳場"
"助詞"	"へ"
"動詞"	"持つ"
"助詞"	"て"
"動詞"	"行く"
"助詞"	"と"
"動詞"	"云う"
"助動詞"	"た"
"記号"	"、"
"名詞"	"下女"
"助詞"	"は"
"名詞"	"変"
"助動詞"	"だ"
"名詞"	"顔"
"助詞"	"を"
"動詞"	"する"
"助詞"	"て"
"動詞"	"いる"
"助動詞"	"た"
"記号"	"。"
"接続詞"	"それから"
"名詞"	"飯"
"助詞"	"を"
"動詞"	"済ます"
"助詞"	"て"
"副詞"	"すぐ"
"名詞"	"学校"
"助詞"	"へ"
"動詞"	"出る"
"動詞"	"懸ける"
"助動詞"	"た"
"記号"	"。"
"名詞"	"靴"
"助詞"	"は"
"動詞"	"磨く"
"動詞"	"てる"
"助動詞"	"ない"
"助動詞"	"た"
"記号"	"。"
"名詞"	"学校"
"助詞"	"は"
"名詞"	"昨日"
"名詞"	"車"
"助詞"	"で"
"動詞"	"乗りつける"
"助動詞"	"た"
"助詞"	"から"
"記号"	"、"
"名詞"	"大概"
"助詞"	"の"
"名詞"	"見当"
"助詞"	"は"
"動詞"	"分る"
"助詞"	"て"
"動詞"	"いる"
"記号"	"。"
"名詞"	"四つ角"
"助詞"	"を"
"名詞"	"二"
"名詞"	"三"
"名詞"	"度"
"動詞"	"曲がる"
"助動詞"	"た"
"副詞"	"すぐ"
"名詞"	"門"
"助詞"	"の"
"名詞"	"前"
"助詞"	"へ"
"動詞"	"出る"
"助動詞"	"た"
"記号"	"。"
"名詞"	"門"
"助詞"	"から"
"名詞"	"玄関"
"助詞"	"まで"
"助詞"	"は"
"名詞"	"御影石"
"助詞"	"で"
"動詞"	"敷きつめる"
"助詞"	"て"
"動詞"	"ある"
"記号"	"。"
"名詞"	"きのう"
"連体詞"	"この"
"名詞"	"敷石"
"助詞"	"の"
"名詞"	"上"
"助詞"	"を"
"名詞"	"車"
"助詞"	"で"
"名詞"	"がらがら"
"助詞"	"と"
"動詞"	"通る"
"助動詞"	"た"
"名詞"	"時"
"助詞"	"は"
"記号"	"、"
"接頭詞"	"無"
"副詞"	"暗に"
"名詞"	"仰山"
"助動詞"	"だ"
"名詞"	"音"
"助詞"	"が"
"動詞"	"する"
"助詞"	"ので"
"副詞"	"少し"
"動詞"	"弱る"
"助動詞"	"た"
"記号"	"。"
"名詞"	"途中"
"助詞"	"から"
"名詞"	"小倉"
"助詞"	"の"
"名詞"	"制服"
"助詞"	"を"
"動詞"	"着る"
"助動詞"	"た"
"名詞"	"生徒"
"助詞"	"に"
"名詞"	"たくさん"
"動詞"	"逢う"
"助動詞"	"た"
"助詞"	"が"
"記号"	"、"
"名詞"	"みんな"
"連体詞"	"この"
"名詞"	"門"
"助詞"	"を"
"動詞"	"はいる"
"助詞"	"て"
"動詞"	"行く"
"記号"	"。"
"名詞"	"中"
"助詞"	"に"
"助詞"	"は"
"名詞"	"おれ"
"助詞"	"より"
"名詞"	"背"
"助詞"	"が"
"形容詞"	"高い"
"助詞"	"て"
"形容詞"	"強い"
"名詞"	"そう"
"助動詞"	"だ"
"名詞"	"の"
"助詞"	"が"
"動詞"	"居る"
"記号"	"。"
"連体詞"	"あんな"
"名詞"	"奴"
"助詞"	"を"
